y_unc,cb_oof
15.5,15.281993591343053
19.7,17.25702960434137
15.7,15.20386597732977
11.7,12.370767164422432
14.9,15.721493142613326
15.4,15.289571977831656
12.9,12.785562338369346
17.2,15.917570642151986
16.9,16.175582636380568
16.7,15.949804650128499
13.7,13.881806894438341
18.3,17.423773130984046
19.4,18.452143356698798
15.1,14.909976183436811
15.9,15.34486331284279
12.5,12.67628532593153
15.3,15.621176756336354
8.6,9.077993138693273
12.9,12.77675014239503
12.6,13.109726521535777
11.6,12.27923996176105
13.7,14.541428082073253
15.1,13.95077556677279
15.4,15.885581621689198
14.8,14.361125991563313
13.0,12.777785151265562
15.2,14.877121488098055
14.8,14.380797272053314
14.9,14.61490190718905
12.7,13.38694149380899
15.1,14.725966394500574
14.4,14.566616014082683
14.3,14.312096641602693
14.0,14.0765479192778
19.5,17.884544773842208
15.2,14.589416801987682
16.2,16.78987265509204
13.0,13.193218991567846
18.1,15.560402328206692
16.4,15.793072295200545
12.9,13.472039418498753
14.3,14.29171167487766
15.2,15.081487338698935
14.7,15.315048138611019
15.6,14.827036799426423
16.8,16.21877055056393
18.7,15.003088485362241
19.3,18.13618117128499
16.0,15.97232172774784
16.9,16.298703376960475
14.1,14.55319667913136
15.5,15.474658794089919
14.5,14.64984928848935
14.4,13.365951466053957
15.0,14.929596544447122
15.5,15.447752805310301
17.8,16.63339950144291
12.8,14.239299073291477
11.5,11.908651062258286
14.2,14.221589952470822
15.1,14.939776117476868
14.8,15.145420005195774
13.7,14.497869859187631
12.6,12.36118819884723
14.9,14.685124825773528
7.2,10.103373341058614
16.0,16.781237278104527
13.8,12.836646647370799
13.5,14.023086253466317
15.0,15.405213880410884
15.5,16.660525256302208
14.2,14.405190586785466
13.0,11.559553599978244
13.9,16.257998528773896
15.2,14.503462074382696
19.3,18.199152201705147
13.3,11.04219077111884
16.4,16.67013023074105
14.5,14.195057349948911
16.1,16.715485161403194
14.0,14.719330939551583
14.9,15.005419202672783
15.0,14.997357107633434
12.9,15.061099918442778
6.9,7.721377674839459
15.0,15.440504108377354
14.8,16.741173597714806
13.1,12.693316641583806
6.1,8.564620878431015
14.1,14.06552121994173
14.7,15.252837977051968
12.2,12.168330933629477
14.5,14.677346010925248
14.7,14.308045572577612
14.4,14.851381692657014
15.1,15.444412539412951
14.7,14.542866462055827
16.1,17.855866401921958
6.8,12.614944218314122
13.9,14.449736765833222
15.0,15.658841618125734
13.8,14.848019444863894
17.9,16.463310173683567
10.9,11.477293135569198
15.4,14.169175045215525
16.3,15.967764678120147
14.2,14.482711445092718
15.9,16.410104133174173
12.3,12.3308975402324
9.1,8.805485203512944
10.2,10.442640900779224
15.8,15.738288881895642
15.2,14.25728649480152
16.0,16.453113597839547
14.2,14.6571989769036
14.4,15.013052469133982
11.7,11.410289125604322
14.4,14.358025281544542
16.6,16.434081538231112
14.8,14.708286322060303
16.1,16.24337500461843
14.6,14.22473337305928
18.2,18.164600491407327
16.4,16.039158018131275
14.5,14.805910931929247
15.7,15.558309032465331
15.8,15.326830648293253
10.2,11.375509671983309
15.6,14.953802290343447
15.1,14.506387244582584
15.3,15.02736282031401
9.8,9.765711072075646
9.5,11.376063633069862
17.8,16.722700677699322
11.1,11.289734032034175
5.3,7.3612850629142486
13.1,13.637209990323754
15.5,14.69613621867029
11.7,11.904629255644977
12.4,14.674490877368953
14.9,14.91259770779834
15.5,14.6634688784834
14.6,15.067700288454944
15.6,15.177975606289692
15.1,14.968574066817382
14.3,13.89665289907498
18.3,16.74606790638063
15.8,15.36654355272185
16.2,16.094797061497957
17.6,16.79863967275014
14.1,13.937128824181855
16.6,16.544915873673744
19.5,19.413724968821043
14.7,14.714107237254211
14.4,13.506599366170121
17.0,17.42259702720912
15.5,14.932578681640734
18.1,18.40563286212273
13.1,13.435343778284732
14.7,14.364236918539973
14.6,14.336570327053778
12.6,11.719215272722067
15.0,15.474619966207683
14.3,14.028808250825023
8.9,8.590689087315695
13.2,14.381783300288589
6.9,8.126271991292015
12.2,14.449757813159522
14.1,13.770857654337306
17.6,18.207713084761053
14.7,14.81263451059931
14.3,14.446739388105925
13.8,13.277618635154795
10.1,10.028160239380668
14.0,13.73217316611408
11.3,10.425114520650823
17.9,18.306684582319576
13.1,12.224502893484896
14.7,14.522272155916653
15.2,14.757951723469887
16.5,16.882141992799006
13.7,13.046224943274865
16.6,17.074640401959186
15.1,13.838703491957858
15.2,16.145262876641937
14.1,13.86109840656718
13.7,13.579196159382263
19.4,19.024884561105864
19.5,18.8985913056531
11.2,11.941344921466225
14.4,14.215161627213092
17.5,17.2643454105164
13.5,13.505177363054827
16.4,16.502139966938557
16.2,16.090054815402254
15.3,15.375847270217491
13.6,13.75653426500503
12.9,12.877554147100454
12.3,12.75046598300105
13.7,13.88283927867269
13.8,14.691154958771222
13.9,12.299397451657569
12.7,12.715595315850805
14.9,15.263191715843277
14.3,16.044164196882775
14.5,14.965064211864956
18.0,17.673799430020154
13.2,13.034094817114237
14.9,15.471030284264998
10.9,13.4453836120083
12.0,12.6880658378941
14.1,13.792429749752046
12.7,11.648709116852842
10.7,10.580178136297036
14.0,14.33705092757009
11.6,11.108461313764565
14.1,14.150099310561927
14.5,14.693636357311334
12.0,12.759519100567559
13.5,13.41218097798992
14.2,13.39462085012019
16.5,15.906491975623794
17.7,17.863072784559336
11.8,12.019595629011746
13.7,13.880078377696918
13.8,14.013216502673458
15.4,14.804565376980463
14.8,14.424769562148867
14.9,14.34827709160163
11.7,12.34335312640178
13.0,12.764686502952827
11.7,12.253010236949194
13.4,13.658451687608249
12.4,12.146987240941598
6.0,7.50178683392005
10.8,10.23337300264393
11.9,11.770166843984043
13.3,13.50627532510407
13.1,10.839059360820102
11.6,12.158452945470344
19.1,18.54243994189892
15.0,14.794712862931192
12.2,12.384981634328142
10.2,10.610847607138567
12.0,12.673648540105205
14.6,14.599332053045146
13.5,13.073816153395455
14.0,14.436044002883136
10.0,10.679816924443003
19.6,19.298268268234096
14.5,14.790061032428639
19.2,18.64426129765343
15.0,14.476160575315589
15.1,15.045476657280233
13.3,13.053457000616618
11.3,9.490356940281345
14.0,13.909424577868776
13.7,13.032425978512038
14.2,14.085690058447653
14.6,14.05521099863654
18.3,18.71640428318642
14.3,14.598912738298168
11.1,11.77093901639455
14.2,12.917298808853957
16.9,16.5436946140253
14.4,14.51742658999865
13.3,13.598936232743654
16.0,16.136676455353154
13.6,15.540012999874307
13.5,14.35576308571035
14.0,17.68648845818825
11.3,10.885648716392097
19.9,18.841961857891874
16.8,15.7746516661864
16.5,15.960508041316643
10.2,12.046892880520318
11.6,13.216558821324725
13.8,13.888372544228332
18.9,18.938679446902825
17.1,17.193766992422752
13.5,13.497366024646908
16.0,15.52939169225283
15.9,16.32740421033668
15.7,15.25776836192199
19.9,19.046397188067203
16.6,16.924333150847815
15.0,14.485131687459216
17.3,17.30127005878603
15.7,15.465762876308872
10.1,10.18906469058129
15.7,15.321027419620805
10.2,11.518681843823288
16.1,16.076361969404388
10.5,9.000760074181017
14.6,16.422659314062912
14.4,14.48859550877205
15.0,15.699780872790143
18.0,18.15034498332534
14.3,14.352762422378873
14.5,14.169269929872826
17.4,17.093748890591087
12.3,12.687636608374305
14.8,14.847605968665448
15.1,15.128928674273993
19.4,18.8118449098547
13.6,13.221925868710969
4.6,7.096973638632335
11.1,12.021712967019994
14.3,14.399591250345111
16.8,17.317163740255637
12.8,12.678026199922897
15.1,13.470643190987175
14.2,13.634465373703279
13.2,12.391832004219395
15.8,15.083998054795302
13.4,12.799747220342397
15.9,15.718853283498902
18.4,18.172314354858827
17.9,17.221643094972023
13.6,12.823970896599349
12.9,11.86873416195158
14.2,14.140316291362979
10.9,11.379658312533138
14.3,14.232465256689466
15.6,16.011960021103732
4.1,7.6968998072552495
13.8,14.099156525015133
19.2,19.20859099412337
13.5,14.04145024967147
14.3,14.041874510385242
10.5,11.485052757547237
14.0,14.892858578041341
19.9,19.429215693176957
14.0,13.671098053746391
19.8,19.624844128848054
16.2,16.12090738172992
5.7,7.580716515367385
15.0,15.167429057721165
15.2,15.219889052241342
12.0,14.499089735010784
17.0,16.90255175533821
15.7,15.459188468754292
17.6,14.623105767619563
14.5,13.601011469087098
15.2,15.568538077641279
13.7,12.950202575098956
16.4,16.309794341446832
11.7,11.823144371068338
14.6,15.32647907549108
15.1,14.641626287280815
13.8,13.706590156045422
15.4,15.403886544841953
14.6,14.161603610904422
14.8,17.092008720646845
18.7,16.680286716553383
18.7,18.544712428178173
13.3,14.780635343355243
16.0,15.736292267571116
19.2,18.46773128019413
11.8,12.304783359431894
13.3,13.89522389202466
12.2,12.980932472506538
12.8,13.492881726357155
16.5,16.758329353764566
15.4,15.45520976674743
16.0,16.35888422766584
16.0,16.12020324160403
18.3,17.608808446471812
15.3,15.642329894646537
19.3,18.02599119010847
11.5,12.206976755696815
14.2,14.296929034637287
19.0,16.45388866504436
15.6,14.727874387230258
14.3,13.16314525362759
12.8,12.739527122903382
18.1,17.590344908021507
13.6,15.265435367968166
10.9,11.154535703622969
17.8,17.660881066636648
17.2,16.424687193182763
18.0,17.33191478808294
14.7,15.694851548765655
15.5,15.751038534814143
10.3,12.040381571836406
12.0,12.86016737454338
15.6,15.092790298338514
12.1,11.789973176637432
14.2,15.664439591802875
13.2,12.813951745571103
15.6,15.172062850033399
10.9,12.069349005731056
8.4,7.955538754817098
15.1,15.088616629553144
14.6,14.728411292569945
12.9,12.80921063394635
14.0,13.671863403815223
16.2,16.07398260385162
13.7,13.900309004879091
13.6,13.885402207961306
14.3,14.0207639830478
18.4,18.243035247025546
12.4,12.537939215253573
11.7,11.844947112724185
19.5,18.580015982639452
16.0,15.728825840575155
15.9,16.068244905443862
19.3,18.950066995064844
18.6,18.570515280385735
18.3,16.02472432281138
19.8,19.046357762621483
13.2,16.54606378119206
19.8,19.04702276806347
13.3,13.679972948715658
19.0,18.652862703427672
6.1,9.751634854041185
14.0,13.69471064708523
13.5,13.36895504221684
14.8,15.201058937207563
14.8,15.536299348666944
17.6,18.116800565767335
19.0,18.67243425178458
17.6,17.90018174785655
14.6,15.564235520316288
8.1,9.041289640183095
14.6,14.515199748013401
14.1,14.801664345930476
15.2,15.974584503743245
14.3,14.873594850621885
11.8,12.767285666519456
15.0,15.570850363379577
13.2,13.186789467868948
12.1,12.448547198233427
12.6,12.748221636726157
14.2,14.155872625298798
10.9,11.813483563717455
11.9,12.780121979711112
14.1,13.479501376568805
15.3,14.971004590479424
17.0,15.841226861695759
15.4,15.358368321238231
13.8,13.667872178019024
18.2,18.493357045415905
12.4,13.387972319036635
15.3,16.41081388784005
13.2,15.980364330753218
16.7,16.50735332755721
19.5,19.204417290748097
17.8,18.298811372718774
15.2,16.060346071230015
13.3,14.195068100685603
19.6,18.322440534597263
13.9,14.184348723487346
14.3,14.395362039431348
6.4,7.782539815118071
18.9,18.392318333440926
15.9,16.023314170794038
13.5,12.946374677878339
16.0,16.066219886008184
14.3,14.645630789866118
16.7,15.488359559414675
15.0,14.864774996711276
16.9,17.14823635033099
11.3,11.654749813722447
19.0,19.05385258505703
15.0,14.820201501366682
15.4,14.88632534876524
16.6,16.31519930423019
19.4,18.49313335190527
18.7,18.995633636019193
15.6,15.279931529372334
16.0,16.171894429862732
14.8,15.05022381391609
16.4,15.476473534217803
14.0,14.504779618699104
