y_unc,xgb_oof
15.8,15.240283012390137
13.3,13.494379043579102
14.0,13.348402976989746
12.7,13.812054634094238
13.1,14.092708587646484
14.4,13.968145370483398
12.9,14.094138145446777
14.0,14.509369850158691
16.0,15.71541690826416
17.6,13.697932243347168
14.9,14.650028228759766
14.2,14.08464527130127
12.6,13.795511245727539
14.2,14.551154136657715
8.9,12.321308135986328
6.3,11.079374313354492
12.6,13.554060935974121
13.4,14.626236915588379
13.1,13.681071281433105
14.0,14.50413703918457
12.1,13.112725257873535
15.0,14.937036514282227
12.2,13.017068862915039
14.3,14.371926307678223
12.6,14.41350269317627
14.0,14.613008499145508
17.5,16.28293228149414
16.5,14.123541831970215
15.3,15.3051118850708
19.6,15.991166114807129
15.2,14.565556526184082
8.8,12.631182670593262
16.9,15.799312591552734
11.1,15.16842269897461
19.5,16.839859008789062
17.1,16.102123260498047
14.5,14.445098876953125
18.2,15.911264419555664
13.3,13.921337127685547
18.5,16.083337783813477
12.1,14.100791931152344
17.2,15.181258201599121
12.1,14.177515029907227
14.0,13.986001014709473
10.9,13.38808822631836
12.8,13.78213119506836
15.0,14.729463577270508
12.1,13.249197006225586
11.6,13.539868354797363
14.0,14.270062446594238
18.9,16.475173950195312
13.9,14.086674690246582
18.4,13.710989952087402
9.4,13.575047492980957
13.6,14.635802268981934
14.4,15.012578010559082
15.1,15.608442306518555
15.1,15.304920196533203
16.9,16.10730743408203
16.0,15.152623176574707
13.4,15.100306510925293
14.7,14.766138076782227
14.0,14.398256301879883
12.2,13.449042320251465
14.6,14.609358787536621
14.0,14.304936408996582
13.3,14.130966186523438
7.6,12.546459197998047
16.0,14.324873924255371
14.5,14.720088958740234
13.7,14.174878120422363
19.1,15.072769165039062
13.1,13.870046615600586
12.8,14.288758277893066
13.3,14.219422340393066
17.8,15.905043601989746
13.9,14.310641288757324
13.2,13.99045181274414
17.1,15.430465698242188
13.4,14.616546630859375
19.1,15.912718772888184
17.9,15.189958572387695
14.4,14.107625007629395
14.6,14.736681938171387
18.5,15.579761505126953
14.8,14.477142333984375
13.3,14.14913272857666
14.9,14.600926399230957
13.0,13.76722240447998
12.1,12.882522583007812
14.7,14.10957145690918
14.9,15.59833812713623
15.5,15.237611770629883
14.9,14.809614181518555
10.2,13.269120216369629
10.5,13.196111679077148
12.1,14.473933219909668
13.5,14.1635103225708
11.6,13.38579273223877
16.7,15.05558967590332
14.7,14.58709716796875
19.5,16.768585205078125
6.0,12.651457786560059
14.3,14.535804748535156
15.8,15.4260835647583
17.9,15.863723754882812
19.1,15.990843772888184
14.6,14.069555282592773
14.9,13.679192543029785
12.2,14.828043937683105
15.2,14.72669506072998
11.8,13.648844718933105
18.9,15.907509803771973
11.6,14.046660423278809
12.3,13.597548484802246
13.6,13.978570938110352
14.4,14.367304801940918
14.4,14.511831283569336
13.3,13.812127113342285
16.8,15.752816200256348
14.8,14.736536979675293
12.9,14.508402824401855
14.8,15.77614688873291
17.0,15.96465015411377
19.8,15.791406631469727
15.8,16.312999725341797
14.2,15.026698112487793
15.8,15.558429718017578
13.8,13.813920974731445
19.3,16.633865356445312
13.9,14.002229690551758
17.8,15.136704444885254
12.6,14.272915840148926
14.6,14.749676704406738
10.8,12.964971542358398
18.2,16.22368049621582
11.6,13.991156578063965
11.0,12.906411170959473
15.9,14.67613410949707
17.8,14.235407829284668
17.3,14.593969345092773
19.0,14.990140914916992
13.1,14.301794052124023
16.5,15.997980117797852
11.2,13.293352127075195
14.0,13.932930946350098
16.7,16.197410583496094
13.2,14.944707870483398
17.7,15.580984115600586
12.4,14.239109992980957
19.1,16.901365280151367
16.9,15.562797546386719
19.3,16.450037002563477
18.7,16.472362518310547
17.7,16.166763305664062
15.3,15.272106170654297
15.2,16.03782081604004
15.5,16.16903305053711
19.1,16.403398513793945
6.6,11.856555938720703
17.9,16.05674934387207
14.3,14.703367233276367
13.9,14.378528594970703
14.5,14.758115768432617
14.8,14.833056449890137
13.0,13.678068161010742
15.8,14.56775951385498
16.0,15.148009300231934
15.0,14.787799835205078
19.8,17.008756637573242
18.5,16.509750366210938
19.6,16.920907974243164
15.5,16.24127197265625
19.8,16.980823516845703
8.7,12.157296180725098
19.7,16.891132354736328
14.8,15.48025131225586
16.8,16.75421714782715
14.2,15.62221908569336
13.4,14.138304710388184
14.1,16.062774658203125
13.7,14.805339813232422
14.1,14.956798553466797
14.3,14.70444393157959
13.8,13.950206756591797
19.6,16.0067195892334
15.5,15.45823860168457
15.0,15.255456924438477
10.6,12.526543617248535
12.1,14.389044761657715
13.7,13.92920207977295
14.4,15.462170600891113
18.6,16.551542282104492
18.2,16.294979095458984
14.1,14.492040634155273
10.1,12.571924209594727
19.2,16.57510757446289
13.6,13.97883415222168
12.7,13.916692733764648
18.5,16.21986961364746
17.4,14.983804702758789
15.7,15.547608375549316
18.1,16.681438446044922
16.9,15.160385131835938
17.6,15.817150115966797
17.8,15.959335327148438
16.2,16.046981811523438
19.9,16.97408676147461
10.6,12.072729110717773
13.2,13.90149211883545
14.1,14.275632858276367
18.0,16.21411895751953
12.9,14.402824401855469
14.4,15.114571571350098
13.0,14.270604133605957
15.6,15.770630836486816
18.6,16.70646858215332
13.2,14.031569480895996
15.0,14.78527545928955
11.6,13.571385383605957
10.5,12.694759368896484
12.0,13.833575248718262
12.9,14.223830223083496
13.4,14.40992259979248
16.4,15.650741577148438
10.2,11.960894584655762
13.8,14.329065322875977
15.5,15.141403198242188
19.7,15.915117263793945
15.7,14.871660232543945
11.7,13.80257797241211
14.9,15.067451477050781
15.4,15.049064636230469
12.9,13.7826509475708
17.2,14.830821990966797
16.9,15.107929229736328
16.7,15.187223434448242
13.7,14.538731575012207
18.3,15.956672668457031
19.4,16.400224685668945
15.1,14.712491035461426
15.9,14.90427303314209
12.5,13.683302879333496
15.3,14.638426780700684
8.6,11.694740295410156
12.9,13.820695877075195
12.6,14.347214698791504
11.6,13.610236167907715
13.7,14.51072883605957
15.1,14.588522911071777
15.4,15.346200942993164
14.8,14.466278076171875
13.0,14.01526927947998
15.2,14.809574127197266
14.8,14.642473220825195
14.9,14.602068901062012
12.7,14.20768928527832
15.1,14.67432975769043
14.4,14.431276321411133
14.3,14.343701362609863
14.0,14.271501541137695
19.5,16.51319694519043
15.2,14.452725410461426
16.2,15.68272876739502
13.0,13.748589515686035
18.1,14.94385051727295
16.4,15.634458541870117
12.9,14.27901840209961
14.3,14.45058822631836
15.2,14.866786003112793
14.7,14.989386558532715
15.6,14.590835571289062
16.8,15.589055061340332
18.7,14.465267181396484
19.3,15.667339324951172
16.0,15.445901870727539
16.9,16.00057601928711
14.1,15.022151947021484
15.5,14.961997985839844
14.5,14.74771785736084
14.4,14.335794448852539
15.0,14.32852554321289
