SamplingOperations_code,IBD_pred,region
2266,20.13523428947598,5
2267,16.20571884637076,5
2268,19.13119413906669,5
2269,20.042943981902773,5
2270,18.37138020596735,5
2271,16.379867432798484,5
2272,19.99764677311321,5
2273,18.62613864811092,5
2274,16.912600034595282,5
2275,18.011004088752873,5
2276,19.309533332941083,5
2277,16.825597969294158,5
2278,16.262990852380838,5
2279,16.188337995167686,5
2280,19.86422436068059,5
2281,19.022184481546486,5
2282,19.344297840210874,5
2283,20.200753357038206,5
2284,19.715346747891758,5
2285,16.125646122224715,5
2286,16.846600014640813,5
2287,19.983856624103126,5
2288,16.27089157629593,5
2289,15.576478755284006,5
2290,12.84289032558867,5
2291,17.14796563644111,5
2292,14.144938221678412,5
2293,15.945913307995301,5
2294,14.789468342088497,5
2295,15.223173821967233,5
2296,16.60547757300205,5
2297,14.982964151175091,5
2298,19.930031195374895,5
2299,20.52642734173709,5
2300,14.806956325288272,5
2301,15.693304070178815,5
2302,17.378947365771452,5
2303,18.812028124188448,5
2304,17.705347009105505,5
2305,18.59966601189551,5
2306,17.48612087766651,5
2307,18.505556259111454,5
2308,16.67698247152537,5
2309,17.130914262654564,5
2310,20.037709193175946,5
2311,20.13581244902771,5
2312,20.12633480415476,5
494,19.30345834169949,4
495,19.47775281740292,4
496,14.666456103806482,4
497,16.158798788533893,4
498,17.942001285307008,4
499,17.557201916748866,4
500,18.841855286410198,4
501,18.626056424076836,4
502,16.00900995766114,4
503,12.885956793422263,4
504,12.358580454552918,4
505,14.521328211803823,4
506,14.526115310373017,4
507,12.787675595635807,4
508,12.9244748244717,4
509,11.320216184010427,4
510,14.01196984930326,4
511,13.76885537037417,4
512,13.962844692781164,4
513,11.93790921152588,4
514,15.616438361319224,4
515,14.228928491110327,4
516,17.72168759466242,4
517,16.667489881457623,4
518,20.06953987300575,4
519,16.58360589350989,4
520,14.272357147085115,4
521,15.20939067996487,4
522,16.68017289805112,4
523,18.098605680689882,4
524,14.87240648632276,4
525,15.053035294145623,4
526,11.469570087722676,4
527,14.91123143998227,4
528,19.653609479937323,4
529,19.208011089769826,4
530,14.390292616688068,4
531,18.951979154177526,4
532,18.729524415564818,4
533,16.987839792766508,4
534,18.112590569008486,4
535,15.125459361862712,4
536,17.093575388130933,4
537,16.022976620296912,4
538,16.476202052909443,4
539,15.625552962127475,4
540,16.41211358766361,4
541,15.629169157790784,4
542,17.55096222745108,4
543,17.134466846717068,4
544,17.883464275166503,4
545,18.240658456614696,4
546,18.239520307222435,4
547,18.063916839640683,4
548,11.710799048878641,4
549,14.406948184227096,4
550,17.62492257866702,4
551,15.413537147187077,4
552,16.20195947652401,4
553,15.718183868471337,4
554,17.01867030804218,4
555,17.348234994226164,4
556,17.74113406172504,4
557,15.512138825598372,4
558,11.803073448274787,4
559,16.165672760894136,4
560,17.372444984488162,4
561,16.593043143641484,4
562,16.919516489701966,4
563,19.247948135922044,4
564,17.004096336400103,4
565,18.873859948857163,4
566,12.627821168228223,4
567,14.713463917176457,4
568,14.55206196650129,4
569,13.83114073523933,4
570,14.891517460380996,4
571,15.06125849434919,4
572,16.961437597441616,4
573,15.454760938644705,4
574,17.52123139225229,4
575,17.722761013492892,4
576,15.312928388571475,4
577,16.337401783432608,4
578,12.897395663191794,4
579,14.397897219760885,4
580,12.71748424527935,4
581,15.684880718738382,4
582,17.581392339860212,4
583,18.484204126580586,4
584,19.81283355019139,4
585,19.358120187948263,4
586,19.64425079257098,4
587,13.672307260744617,4
588,11.73459233748937,4
589,13.697595812373947,4
590,16.472747373269726,4
591,15.20754520775713,4
592,13.320053912166589,4
593,17.580964723883547,4
594,17.49748705360426,4
595,15.633810608055805,4
3389,18.296843722411918,10
3390,16.623341521231005,10
3391,11.580449127747176,10
3392,14.67677664733925,10
3393,15.50777712232104,10
3394,13.800564867449822,10
3395,11.275407798261151,10
3396,14.578949458115924,10
3397,9.719089467107704,10
3398,11.616404910004587,10
3399,13.866904086684372,10
3400,11.525451469540798,10
3401,13.550146349806274,10
3402,14.783831247120446,10
3403,7.661492630148022,10
3404,8.539734432863941,10
3405,7.990500606826037,10
3406,11.05561943543994,10
3407,14.511946259298242,10
3408,13.329575452799824,10
3409,13.002140011704745,10
3410,14.632868775453549,10
3411,12.740772669872138,10
3412,14.682428298397348,10
3413,14.050317506179889,10
3414,7.815074373492842,10
3415,13.726496024775946,10
3416,14.747985404194212,10
3417,14.613047609542672,10
3418,15.211887764329218,10
3419,14.778683272631147,10
3420,14.10878740395052,10
