,s_tilde
Cymsi02,6.625986746300237
Cymsi03,8.361558402344375
Cymso01,9.926601735005786
Cymsp01,13.479900553211795
Cymst01,5.63381517964384
Cymsu01,6.148467144883963
Cymsu02,12.9850034767472
Cymsu03,9.542182450542667
Cymsu04,2.2163727845530667
Cymsu05,10.195999785643457
Cymsu06,18.7980917259988
Cymsu07,18.685060630197988
Cymsu08,13.88621056067213
Cymsu09,17.355711952627985
Cymtr01,9.64377435596361
Cymtr02,16.397312549332486
Cymtu01,16.64540881670184
Cymtu02,18.69006215863601
Cymtu03,17.37914766026357
Cymtu04,12.328723983440462
Cymve01,19.99597869400411
Cymvu01,14.663185639823345
Delal01,12.692722303217929
Delap01,14.644532063784247
Delco01,13.032690680933571
Delde01,10.418473031928885
Delde02,16.146099648732402
Delkr01,17.567915501676897
Delve01,18.465472826634233
Dener01,10.740589507088613
Denfr01,18.39917251763885
Denku01,18.85686839308028
Denpa01,15.51231291086776
Dense01,15.405565394035637
Densu01,3.292035672999737
Densu02,15.04060332099725
Denta01,18.949672589622097
Dente01,19.955892928224838
Diabi01,6.629880475656286
Diaco01,4.5542039002145875
Diade01,8.918129789715165
Diaeh01,19.6290162186134
Diaga01,9.243578917782926
Diahy01,16.690762436536392
Diame01,19.82928941161971
Diamo01,19.641225532964338
Diapa01,18.192393098133067
Diapr01,12.146727902397508
Diapy01,18.761265876638593
Diate01,14.109028925981672
Diate02,12.42098746493434
Diavi01,12.070535659790039
Diavu01,14.08617984089537
Dicda01,9.709677013096668
Didge01,16.43830569203651
Dimna01,10.008626419042692
Dipab01,9.102851782063246
Dipae01,1.2111826035092204
Dipbo01,4.197026295174579
Dipbo02,17.570096015930176
Dipbu01,13.782255890535225
Dipca01,17.28462539720874
Dipca02,16.64511333418774
Dipde01,11.093354677350998
Dipel01,14.280651979899622
Dipfo01,12.551151158263966
Dipfo02,14.888042829695424
Diphi01,7.932334423504845
Dipkr01,18.328966125287604
Dipma01,17.135882615139952
Dipmi01,16.520390851416302
Dipmo01,6.892873548870673
Dipob01,14.35521537575378
Dippa01,11.056935868784253
Dippa02,14.113480040875809
Dippe01,18.768817367441642
Dippr01,16.835872388675323
Dipps01,9.366872443426757
Dippu01,7.4834998866795415
Dipse01,17.360650894738765
Dipst01,7.650684718588574
Dipsu01,16.106149027827062
Dipti01,16.327341143566812
Disin01,8.124284009880792
Disst01,11.438084157542546
Dorko01,17.960868624308308
Encae01,13.770308249518052
Encaf01,9.549611817912727
Encal01,12.188049160337933
Encal02,18.138782935761434
Encau01,18.376918789828064
Encbl01,5.760911071971919
Encbo01,18.60245088216449
Encbr01,11.323401000033371
Encca01,18.05534702047293
Encce01,18.89478125267416
Encel01,18.306444588958037
Encfa01,10.307713340075365
Encfo01,18.626157397993822
Encfo02,13.920497083246781
Encge01,7.733341894330005
Encgr01,13.77263319449526
Enche01,10.464134413653484
Encho01,15.054557201408846
Enchu01,7.675849914550781
Encin01,6.407118606822051
Enckr01,17.783553182331598
Enckr02,13.987818931218424
Encla01,9.945724487304688
Encla02,12.864512663748052
Enclu01,15.405273629142117
Encme01,2.2062115915746596
Encmi01,14.985349736284082
Encmi02,18.746210848361315
Encmi03,19.670701911873376
Encmi04,19.975668692967716
Encmu01,11.5405232638832
Encne01,19.40755839422041
Encne02,9.47717794841423
Encne03,17.63323009233846
Encno01,10.291222664241277
Encob01,18.37563179946574
Encpa01,15.370066673130381
Encpe01,8.33320389048902
Encpr01,18.36896147531982
Encpr02,13.037813753990116
Encre01,8.185241469980015
Encre02,8.075134923706372
Encro01,18.628819117633245
Encro02,14.81283998683895
Encsi01,17.894623604557687
Encsi02,19.336338509891643
Encsp01,1.306146571356714
Encsu01,13.966091512576398
Encsu02,10.414847376037805
Encsu03,19.60680932089234
Encsy01,12.436598022004336
Encta01,17.102741649973833
Encth01,7.344123894547351
Encva01,9.158695554793717
Encvu01,16.776363378538505
Entor01,8.955165832645868
Entpa01,12.717348615078079
Eolar01,6.017995805445879
Eolbe01,14.525302851014771
Eolch01,13.347840724444413
Eolco01,5.467279214078256
Eolcr01,11.749083599442802
Eolin01,8.963453866565647
Eolrh01,19.503153698608894
Epifr01,11.55509934105613
Epigo01,18.64320132428056
Epiin01,18.52137059149163
Epiop01,7.038456587799348
Epipa01,13.946427579652397
Epire01,17.312164868609443
Epiru01,13.032330302812836
Epism01,8.452124180634966
Episo01,13.205155087795964
Epitu01,10.47432458465876
Ethpu01,12.729648521021334
Eucal01,13.160110779149594
Eucau01,18.0
Eucdi01,8.477300895180324
Eucla01,16.795565302110525
Eunam01,5.7900804444962395
Eunar01,16.490204269041342
Eunar02,13.45324988685011
Eunar03,19.1913290363053
Eunar04,11.039940179625823
Eunau01,10.483055036411663
