SamplingOperations_code,IBD_pred
S02115675_20070802,13.765694331475187
S02115675_20160728,14.43407394660813
S02115675_20180823,14.336010549950633
S02115685_20070802,16.297864553472078
S02115685_20170824,14.60850382447195
S02115725_20070730,16.38819465028034
S02115725_20080729,16.262051733170654
S02115725_20160830,16.425078095247315
S02115725_20170824,15.327887550703545
S02115725_20180719,15.417485755619998
S02115750_20160901,14.690993525046155
S02115762_20100906,15.570063622072187
S02115762_20160901,16.272248225047324
S02115775_20080730,14.536613296218807
S02115775_20130708,13.84621076663633
S02115800_20070731,15.551985041290168
S02115820_20160901,16.45177001228464
S02116000_20100804,14.579900280534108
S02116000_20210813,14.855814636467521
S02116500_20080731,19.03204293850852
S02116570_20160830,16.751248952130492
S02116570_20190806,17.60220479479934
S02116600_20090804,15.99259132443409
S02117000_20090804,14.27061788970617
S02117000_20160831,14.71813214179814
S02117350_20080731,14.9516644210154
S02117575_20110801,15.587555886937368
S02117575_20170821,14.492274855837813
S02118000_20140916,15.468755255478113
S02118300_20150818,14.632561598843115
S02118300_20200722,15.955683531309775
S02118750_20110803,11.583942143654163
S02118750_20160830,15.209371023986535
S02118750_20190813,15.049918109107741
S02119000_20120725,14.867910513754921
S02120000_20090805,13.42722748480373
S02120000_20120725,14.341326158855049
S02120000_20180824,13.763150935466628
S02120400_20160830,12.148249830087778
S02121050_20090805,8.760589412557923
S02122200_20160830,20.003356604775405
S02122200_20180821,19.516276684475656
S02123000_20080730,14.417613367520822
S02123000_20110803,15.599936241488898
S02123000_20140930,13.776487311747935
S02123300_20170822,15.738281903815965
S02123300_20180821,8.447262207783798
S02123300_20190812,15.306362015373779
S02123500_20190812,16.782813859966097
S02123500_20210810,11.126163707789901
S02124000_20070801,12.890988339834646
S02124000_20110803,15.734166344139048
S02124000_20210810,14.134363544823033
S03000033_20170627,19.956213758566054
S03000100_20140812,19.893400356556477
S03000456_20160928,16.944186473310484
S03000890_20170627,20.147965377897215
S03001000_20100610,19.95429525023683
S03001000_20120628,20.02651855081301
S03001000_20170719,17.537187786823978
S03001000_20220505,20.01956394360311
S03002100_20100610,19.96070365070707
S03002100_20120628,18.895562849568304
S03002100_20130725,19.52014313643326
S03002100_20150810,20.104534332892932
S03002100_20180710,20.114382652911797
S03002310_20130722,16.66343098859299
S03002900_20110914,16.22299685119964
S03003790_20140708,19.594231172347616
S03003790_20210603,19.156236594790606
S03004232_20210601,15.401500279007378
S03004280_20100728,15.996756843879012
S03004280_20150622,17.794060181777994
S03004280_20200903,15.32626154835446
S03004985_20210602,14.110446445743143
S03005200_20100726,15.136225039326112
S03005200_20210907,15.619568755750947
S03005284_20210527,18.799485795702303
S03006000_20190917,15.163837313388957
S03006268_20100610,20.103515831724877
S03006268_20120628,20.019068993752995
S03006271_20100610,19.577721335543732
S03006271_20120628,19.628362135872674
S03006271_20170627,18.269067454402876
S03006271_20180710,19.237195487994107
S03006272_20130819,19.77153305613316
S03006272_20140915,19.697295994348952
S03006354_20150702,20.236903900048603
S03006354_20170627,19.66107555901554
S03006590_20100610,20.007088521073875
S03006590_20120628,20.022166764609167
S03007023_20150623,20.231797358909596
S03007383_20140723,15.913800400848194
S03008267_20160909,16.159323841752276
S03008483_20120725,15.414447444210214
S03008505_20100728,13.695969388705269
S03008505_20150623,15.218654593974993
S03008505_20210602,15.505882217392863
S03008671_20180912,17.70625153266069
S03008950_20210603,14.997655291118413
S03009000_20110928,18.39086964588241
S03011080_20190603,18.774143274032628
S03011175_20160908,14.320163210985863
S03011300_20100727,15.397284416662746
S03011300_20190805,15.183191862205252
S03011740_20200525,16.991390653222748
S03011840_20200604,15.500300770276137
S03012100_20110816,15.565931603525144
S03012100_20120614,15.99759608396833
S03012100_20130822,15.52968337396065
S03012100_20200831,16.013701251351502
S03012310_20130619,16.401287781590252
S03012310_20140623,16.605648229110393
S03012450_20130822,18.010296766547512
S03013300_20110718,15.663860203433153
S03013660_20200921,15.807134982060402
S03013660_20210706,14.975856870976536
S03013677_20180717,15.292287486977918
S03013740_20160707,15.810800026673165
S03013740_20210525,15.690455529906343
S03013930_20130617,14.67389720375098
S03014000_20150914,13.612673840666822
S03014030_20120703,19.772254883339656
S03014130_20110912,19.95310238797699
S03014130_20120802,19.981470302489925
S03014130_20130902,20.123615263219882
S03014140_20120702,20.149353835031146
S03014550_20190520,20.184337459064693
S03014907_20130925,18.30619728785706
S03014927_20120821,17.569255055968622
S03014986_20120903,20.192238060965472
S03015000_20180514,18.76497394190197
S03015000_20200804,19.839987985436178
S03016840_20150727,16.105473596952965
S03017000_20170720,19.513325645628797
S03018342_20150721,16.000745063980094
S03018342_20210630,15.946963438997416
S03018431_20220825,16.39220096165858
S03018531_20120725,11.302315244768788
S03018675_20110915,15.394911434006985
S03018675_20130827,18.015457996323086
S03020000_20120710,15.545378662684998
S03020145_20120709,17.392577551602475
S03020591_20120903,15.121649986616108
S03020650_20140702,15.598211331928194
S03021000_20140730,15.254023201402013
S03021000_20180717,16.017618071912377
S03021588_20190607,19.45723684624353
S03022000_20160916,19.79076290544276
S03022000_20210604,20.786886052973408
S03022589_20190606,19.368827368811594
S03022718_20210528,13.23585723979961
S03022790_20190521,12.719024688017193
S03022840_20190604,15.93629310713413
S03023000_20150721,15.605880307063835
S03023025_20190604,8.109527079808036
S03024245_20100818,17.408627365121433
S03024245_20110525,16.193328723298
S03024245_20120711,19.694233241504875
S03024245_20140707,17.71517918889967
S03024294_20130709,17.386812675545887
S03024300_20120709,19.94738718619742
S03024300_20181008,15.47394768476978
S03024392_20120711,18.129713863556166
S03024510_20220803,13.233099140934314
S03024560_20110607,15.751771287620876
S03024560_20120712,14.10282421295075
S03024736_20181011,12.994273678849694
S03024840_20120712,14.930652866630755
S03024840_20150928,18.819909902435157
S03025238_20120712,17.793530411083097
S03025238_20220830,16.163378385749375
S03025368_20120712,19.89744877159121
S03025368_20150616,19.84382932283853
S03025368_20161026,19.1359446520178
S03025368_20170705,18.295761029941396
S03025368_20190801,18.499460277199546
S03025440_20150616,14.880546890089803
S03025492_20181001,15.323651462407467
S03025551_20150616,15.836514617756887
S03025919_20100818,18.35989892679421
S03025919_20120712,19.836129567268966
S03025919_20190801,19.990712119877085
S03026179_20100809,19.761512307992668
S03026382_20110608,18.34291517795047
S03027000_20120719,19.614971511414005
S03027000_20140811,14.831454741607663
S03027000_20180820,11.914461420388717
S03027490_20110929,15.526318773350082
S03027490_20120723,15.091329889756672
S03027549_20100901,8.920522627393776
S03027549_20150722,6.743009441163753
S03027697_20150929,14.227023804489674
S03029000_20120723,12.054754762881245
S03029000_20190919,13.56255206069094
S03029500_20110616,15.193002217510452
S03029500_20150729,15.966650758847251
S03029530_20120723,13.255140279699344
S03029530_20170720,14.752931417625778
S03029630_20190509,16.05870409737765
S03029798_20150727,15.044725290677894
S03030000_20110928,15.259020797261323
S03031191_20150716,15.79137867238884
S03032000_20140804,15.196572508269973
S03032000_20180822,14.076844682714341
S03032550_20150703,15.753584075766552
S03032675_20120712,18.911701956476662
S03032675_20130624,16.218160258486286
S03032675_20210525,15.572799638407654
S03032695_20160915,17.70227228234922
S03032731_20130709,18.538222885733713
S03032780_20150630,14.663904288168059
S03033000_20100810,14.251675762137545
S03033000_20220721,11.685549264423026
S03033030_20220805,18.41377192187872
S03033038_20140620,17.13020234901229
S03033050_20140620,18.7234815599044
S03033120_20220830,17.521314393558022
S03033200_20120712,19.560928557224628
S03033240_20100819,17.39397071771845
S03033240_20120711,19.1849829009423
S03033273_20160721,15.839498369345547
S03033306_20120712,18.103224796138306
S03033306_20140717,17.54866590655696
S03033306_20160720,18.481304677815096
S03033306_20170705,18.820937693452432
S03033306_20200730,17.825996500101187
S03033660_20120712,16.127586739597643
S03034254_20150703,9.681297480507201
S03034370_20200624,9.332892862904398
S03034465_20170705,13.243746828047849
S03034720_20120712,15.373730443769574
S03034720_20160727,15.7295702857591
S03034720_20170705,14.618211161376735
S03034813_20150703,15.19896104017073
S03035000_20110609,14.611650783318018
S03035455_20120719,16.21390673039295
S03035570_20170622,15.704838087882159
S03035840_20170720,16.87325287470286
S03036030_20110929,18.452495680042095
S03036030_20170622,16.706163165999058
S03036070_20120719,18.107002398441644
S03036070_20220518,16.39266110805933
S03036332_20150702,15.369136222271987
S03036475_20200611,15.490751539326386
S03036496_20140821,15.12813484303239
S03036510_20100707,15.007453649776044
