SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S02019500_20200730,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02019950_20100722,5.479673562226305e-110,3.958780810511948e-66,1.1932981273124699e-19,2.039509263873928e-49,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,12
S02019950_20150716,1.0497187760380253e-84,3.135313438231772e-22,0.9999999973165199,2.4567913685067413e-26,2.683480048040692e-09,Moderate,0.999999965374283,5.572794156257485e-08,12
S02020000_20080807,1.588608160661212e-72,4.879113148574193e-21,0.9999999998313918,6.845266927695038e-24,1.6860828669373514e-10,Moderate,0.9999999974862228,4.045768257527975e-09,12
S02020000_20100722,1.737385065816381e-110,1.141882729901162e-55,7.717650287717912e-17,1.3120999862115101e-39,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,12
S02020000_20160720,9.149944988903756e-83,2.930762200968162e-23,0.9999996181248199,7.256514126836822e-27,3.81875180096661e-07,Moderate,0.9999962562239517,6.025375107814625e-06,11
S02020000_20180517,2.626346908883532e-107,1.5440415476374227e-65,7.076815116758528e-19,2.809559417164759e-47,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,12
S02020300_20210526,1.0810433454547919e-94,1.7410202964207318e-24,0.9999998771262888,2.7748412495076213e-28,1.2287371116181644e-07,Moderate,0.9999987087812242,2.078136450942382e-06,12
S02020750_20150715,1.0810433454547919e-94,1.7410202964207318e-24,0.9999998771262888,2.7748412495076213e-28,1.2287371116181644e-07,Moderate,0.9999987087812242,2.078136450942382e-06,12
S02020750_20180726,3.868157599550135e-108,7.339405756255031e-62,0.0004442385395798949,1.2208098251494473e-36,0.99955576146042,Poor,0.9975933937351553,0.003873283362942433,12
S02021000_20080806,2.3318445930370084e-111,5.553978362611703e-77,4.1552471684609884e-22,3.6850189160733996e-51,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,12
S02021000_20160719,4.735917333045262e-47,2.9845141763573123e-11,0.9999999999701468,7.981524353857039e-15,3.016271551860008e-39,Moderate,0.9999999994805371,8.360432764636387e-10,11
S02021700_20160719,1.2318207833167126e-29,0.999987140232631,9.564677031240021e-12,1.2859757804382222e-05,1.4652382094087466e-70,Good,0.999902028555053,0.00015767895783371552,11
S02022000_20160720,1.999423356514527e-39,0.999996959554585,5.745201749115634e-07,2.4659252399932585e-06,8.962368851991312e-65,Good,0.9999731965122123,4.313854943104111e-05,11
S02022700_20160826,1.999423356514527e-39,0.999996959554585,5.745201749115634e-07,2.4659252399932585e-06,8.962368851991312e-65,Good,0.9999731965122123,4.313854943104111e-05,11
S02022730_20160825,6.363228467111213e-84,5.903616256877797e-24,0.9999995128121677,6.433421917787463e-28,4.871878323725389e-07,Moderate,0.9999952975143321,7.568358716603845e-06,11
S02022760_20100722,1.270999367156588e-69,4.883703160368295e-15,0.9999999999999951,5.924959841632468e-19,1.0832903239249045e-29,Moderate,0.9999999999313245,1.1052896944502253e-10,12
S02022800_20170705,1.707299246559375e-97,2.5574258480287226e-72,5.45173265829129e-30,2.961511205118285e-56,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,11
S02023000_20140924,1.0497187760380253e-84,3.135313438231772e-22,0.9999999973165199,2.4567913685067413e-26,2.683480048040692e-09,Moderate,0.999999965374283,5.572794156257485e-08,12
S02023000_20160825,8.884816254868591e-73,5.277859459651715e-21,0.9999999916600982,6.42478044176223e-25,8.339901811042064e-09,Moderate,0.999999898372323,1.6356343631084514e-07,11
S02023750_20200702,7.517997419286428e-96,3.5070455242858106e-25,0.9999998432404503,2.4600966078236666e-29,1.5675954969667919e-07,Moderate,0.9999983764283905,2.613037701773804e-06,12
S02024000_20090803,7.686027632583851e-121,8.279693009606776e-91,1.652192752600512e-26,1.5263815657944852e-82,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,12
S02024000_20160720,1.726866664210888e-66,1.2325531653256054e-16,0.9999999999999998,7.095638535325946e-19,7.852618313421145e-20,Moderate,0.9999999999313274,1.1052430650831911e-10,11
S02024000_20190829,7.300154377704038e-86,6.315657174043427e-23,0.9999999965764756,2.1781225550102078e-27,3.4235243154660535e-09,Moderate,0.9999999563575638,7.023979144240173e-08,12
S02025100_20080806,1.0810433454547919e-94,1.7410202964207318e-24,0.9999998771262888,2.7748412495076213e-28,1.2287371116181644e-07,Moderate,0.9999987087812242,2.078136450942382e-06,12
S02025100_20200520,1.1007249025507469e-119,4.659420288518733e-100,9.363941868256174e-29,5.710829242149925e-82,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,12
S02025125_20180726,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02025150_20090803,1.0810433454547919e-94,1.7410202964207318e-24,0.9999998771262888,2.7748412495076213e-28,1.2287371116181644e-07,Moderate,0.9999987087812242,2.078136450942382e-06,12
S02025500_20090804,7.517997419286428e-96,3.5070455242858106e-25,0.9999998432404503,2.4600966078236666e-29,1.5675954969667919e-07,Moderate,0.9999983764283905,2.613037701773804e-06,12
S02025500_20160825,9.149944988903756e-83,2.930762200968162e-23,0.9999996181248199,7.256514126836822e-27,3.81875180096661e-07,Moderate,0.9999962562239517,6.025375107814625e-06,11
S02025500_20170706,1.0497187760380253e-84,3.135313438231772e-22,0.9999999973165199,2.4567913685067413e-26,2.683480048040692e-09,Moderate,0.999999965374283,5.572794156257485e-08,12
