SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S04001940_20120925,1.5256225517863033e-08,2.0058922090522115e-07,0.9999997834471175,3.912042866035731e-11,6.683155117386815e-10,Moderate,0.9999977633909113,3.5996834626126004e-06,10
S04001940_20161013,1.0404689522665012e-09,5.160152304038537e-10,0.9999999983584391,2.6679988030328885e-12,8.240861131779238e-11,Moderate,0.9999999775190463,3.6181699047209665e-08,10
S04001940_20221011,1.2546450562704787e-05,0.8381242130292371,0.16186265873737063,3.217194997572e-08,5.496108797356463e-07,Good,0.7248066487767928,0.4429066127084228,10
S04001945_20200708,1.1664617675026573e-09,9.248609667076875e-09,1.6558763912278432e-09,1.1959507274807439e-11,0.9999999879170925,Poor,0.9999998502923646,2.409451441719837e-07,10
S04001945_20210608,3.4145597840764316e-10,2.7073266786473886e-09,0.9999999968058251,3.5008822162561027e-12,1.4189148530997116e-10,Moderate,0.9999999581498031,6.735529341391992e-08,10
S04001950_20200708,2.2825044792614095e-05,0.0001809745812521476,3.2401793058100896e-05,0.004601523425382884,0.9951622751555143,Poor,0.980286985262481,0.031726873286935256,10
S04001990_20210908,1.4392419960377483e-10,1.1411421967404869e-09,0.9999999986882488,1.4756270287943762e-12,2.5208937290697268e-11,Moderate,0.9999999821513804,2.8726244953618432e-08,10
S04002010_20170912,0.00015939555749003073,0.0012638110694768634,0.00022627346036332136,0.6599777662442141,0.33837275366845565,Bad,0.5944897378922073,0.6526435897173708,10
S04002010_20190919,2.0817619782973754e-08,1.6505816558612828e-07,5.274111972087082e-07,2.1343903604460127e-10,0.9999992864995783,Poor,0.9999929863393723,1.1288051319225925e-05,10
S04002010_20210908,5.518870473232495e-07,4.375786693751785e-06,1.3981973510285503e-05,1.5000995364151255e-07,0.999980940342795,Poor,0.9998510966216612,0.0002396507423880302,10
S04002100_20190704,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04002300_20121008,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04002530_20150623,2.109014338898164e-09,1.672189431848904e-08,5.413098962641719e-09,2.1623316795651784e-11,0.999999975734369,Poor,0.9999997083483457,4.6939522953582294e-07,10
S04002800_20170913,5.003575033721641e-09,3.967220676756318e-08,1.2842419477664087e-08,1.2170939240557037e-10,0.9999999423600894,Poor,0.9999993379528149,1.0655238394187515e-06,10
S04002870_20120711,3.2657485575784956e-07,0.9999996575482231,1.5048482058922823e-08,4.581178027434962e-11,7.826275024623506e-10,Good,0.9999965775176463,5.5082728546641605e-06,10
S04002945_20121031,3.095463914902854e-08,0.9999991418284605,8.257815240679925e-07,7.93747281146835e-11,1.356001553552478e-09,Good,0.9999919291062839,1.298960233398085e-05,10
S04003010_20121115,0.9999999995625404,1.8320345203949027e-10,2.371266788942251e-10,9.472328759953619e-13,1.6182093242195093e-11,High,0.9999999936437619,1.0229970648271605e-08,10
S04003060_20211013,7.405897196356748e-08,0.00030224477234781815,0.9996976674376231,7.593123397943039e-10,1.297174474607336e-08,Moderate,0.9982893229120642,0.0027532285612562983,10
S04003160_20121115,0.9999999995625404,1.8320345203949027e-10,2.371266788942251e-10,9.472328759953619e-13,1.6182093242195093e-11,High,0.9999999936437619,1.0229970648271605e-08,10
S04003160_20131025,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S04003160_20161012,1.7671269899280954e-09,0.9999999954597132,2.6912176347331987e-09,4.53131511869243e-12,7.741091511778173e-11,Good,0.9999999408601188,9.518196700034638e-08,10
S04003160_20180919,1.7671269899280954e-09,0.9999999954597132,2.6912176347331987e-09,4.53131511869243e-12,7.741091511778173e-11,Good,0.9999999408601188,9.518196700034638e-08,10
S04003170_20180918,3.4145597840764316e-10,2.7073266786473886e-09,0.9999999968058251,3.5008822162561027e-12,1.4189148530997116e-10,Moderate,0.9999999581498031,6.735529341391992e-08,10
S04003170_20211014,0.9952905777169313,0.004672102493501857,3.704865774150524e-05,1.4993291452558994e-08,2.56138534083043e-07,High,0.9812657106768569,0.030151675499176023,10
S04003200_20140819,0.9998612555363275,0.0001385233906142084,2.0617928017358026e-07,8.236095298943192e-10,1.4070168535805339e-08,High,0.9991469769907767,0.0013728875712225505,10
S04003200_20180821,1.9673532959431823e-07,0.999999794932742,7.770603092967019e-09,3.104066885385312e-11,5.302845904343504e-10,Good,0.9999978873904316,3.4001139335420802e-06,10
S04003200_20190903,7.279032003044468e-05,0.9999270494198855,1.494632994960729e-07,5.970502842515421e-10,1.0199733998764678e-08,Good,0.9995221697132304,0.0007690381792363521,10
S04003340_20150624,1.1194719901156689e-05,0.8768099637960396,0.12317832238140211,2.8705805426978635e-08,4.903968514854976e-07,Good,0.7680211700182942,0.3733555238546618,10
S04003353_20151016,1.7671269899280954e-09,0.9999999954597132,2.6912176347331987e-09,4.53131511869243e-12,7.741091511778173e-11,Good,0.9999999408601188,9.518196700034638e-08,10
S04003400_20201006,5.754665659863799e-10,2.853996863532723e-10,0.9999999991124491,1.4756270294203376e-12,2.5208937301390907e-11,Moderate,0.999999987536801,2.0058745022653257e-08,10
S04003500_20171003,5.235049874792135e-07,0.9999994629035969,1.2675756496062939e-08,5.063493208429107e-11,8.650240221436564e-10,Good,0.9999948067928847,8.358144418579353e-06,10
S04003645_20120904,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S04003645_20130830,1.1009589469150555e-06,0.9280463949844092,0.07195229993106984,1.1287919502998171e-08,1.928376543265196e-07,Good,0.8392734427975983,0.25867941469655337,10
S04003700_20130626,4.174080023304722e-08,9.599207342411944e-05,0.9999039584467361,4.2796036522669387e-10,7.3110791544107434e-09,Moderate,0.9993880232567623,0.0009849385720945548,10
S04003900_20120905,0.08177680789483764,0.9182180446522641,4.800666991008867e-06,1.917687888091985e-08,3.276090283703861e-07,Good,0.8240650475271298,0.2831563826321287,10
S04003900_20170919,7.448466392822994e-10,0.9999999987424835,4.78131133354509e-10,1.9099560229253614e-12,3.262881518865434e-11,Good,0.9999999825944133,2.801321121923223e-08,10
S04004100_20190806,8.764726010729624e-08,6.949351617898553e-07,2.2495972835019247e-07,3.734568056767957e-08,0.9999989551121693,Poor,0.9999898068711524,1.6405208013810813e-05,10
S04004805_20210819,3.60294221450716e-08,2.856690816909639e-07,9.247487038896052e-08,0.999999579515919,6.310706927505106e-09,Bad,0.9999956758314624,6.9594807841291266e-06,10
S04004825_20190905,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04005530_20200810,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04006000_20200810,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04008000_20190716,7.875828395553122e-07,6.244564945433174e-06,0.0003182876576725936,1.9157547998242536e-08,0.9996746610369944,Poor,0.9981518032746706,0.0029745578793817585,10
S04009000_20140723,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04009000_20220829,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04009050_20120725,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04009250_20130625,0.9999999983656027,1.0311823002237133e-09,5.62576150687599e-10,2.2472824553829327e-12,3.839154568652642e-11,High,0.9999999776721735,3.59352503727142e-08,10
S04009250_20180801,3.095463914902854e-08,0.9999991418284605,8.257815240679925e-07,7.93747281146835e-11,1.356001553552478e-09,Good,0.9999919291062839,1.298960233398085e-05,10
S04009330_20111012,0.5400946597917168,0.4598804742509432,2.0211156667811354e-05,1.4597434716834748e-07,4.508826324993125e-06,High,0.571148178515552,0.6902103803134915,9
S04009350_20140723,4.138714702024328e-06,0.32675864696777845,0.6732340623441847,4.243344271212873e-08,3.109539892059861e-06,Moderate,0.6073441464012183,0.631955217321053,10
S04009350_20220907,1.9726772244798835e-09,0.9999998788122724,1.1857010459533196e-07,2.022547868630453e-11,6.247205245674257e-10,Good,0.9999987166987149,2.065393741392956e-06,10
S04009415_20150529,2.7673965832249525e-09,2.1942057172646756e-08,3.928518529276492e-09,6.731550030119888e-11,0.9999999712947122,Poor,0.9999996596351594,5.477960785475437e-07,10
S04009415_20210607,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04009420_20120717,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04009430_20101012,9.902509766452474e-06,0.7818201847275331,0.21816667524162156,1.015285205997724e-07,3.13599255826727e-06,Good,0.6739587450212742,0.5247431567803547,9
S04009440_20150529,3.782320028351978e-07,2.9989153997809778e-06,0.9999232238222072,9.200299174722981e-09,7.338983009106751e-05,Moderate,0.9994909243342198,0.0008193256768043227,10
S04009480_20220726,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04010130_20170622,5.876897010681315e-06,4.6596577804491616e-05,0.9559797022356147,6.025469030417847e-08,0.0439677640348799,Moderate,0.8875745218825867,0.1809418268056954,10
S04010130_20210531,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04010200_20120713,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04010200_20210428,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04010250_20150526,0.9999999983656027,1.0311823002237133e-09,5.62576150687599e-10,2.2472824553829327e-12,3.839154568652642e-11,High,0.9999999776721735,3.59352503727142e-08,10
S04010350_20130625,0.08177680789483764,0.9182180446522641,4.800666991008867e-06,1.917687888091985e-08,3.276090283703861e-07,Good,0.8240650475271298,0.2831563826321287,10
S04010410_20120716,3.4145597840764316e-10,2.7073266786473886e-09,0.9999999968058251,3.5008822162561027e-12,1.4189148530997116e-10,Moderate,0.9999999581498031,6.735529341391992e-08,10
S04010410_20160622,2.568588491936357e-09,3.6346395039598556e-07,0.9999996334912267,2.6335241849432966e-11,4.498992274898293e-10,Moderate,0.9999963857367543,5.816932293197042e-06,10
S04011100_20210901,0.00017343334829858647,0.7816923317510777,0.21813099790898471,1.0151191739124979e-07,3.1354797216962106e-06,Good,0.6730481765213775,0.5262086602459567,10
S04011100_20220817,3.7756698447257554e-07,0.0018342047722064811,0.9981651301123421,3.871121388911349e-09,2.8367734542513014e-07,Moderate,0.9916736707753616,0.013400709925541071,10
S04011700_20130718,7.448466392822994e-10,0.9999999987424835,4.78131133354509e-10,1.9099560229253614e-12,3.262881518865434e-11,Good,0.9999999825944133,2.801321121923223e-08,10
S04011700_20140610,1.7671269899280954e-09,0.9999999954597132,2.6912176347331987e-09,4.53131511869243e-12,7.741091511778173e-11,Good,0.9999999408601188,9.518196700034638e-08,10
S04011700_20200507,0.9674852540427208,0.03251141442134565,3.1070890596743493e-06,1.2411665020965021e-08,2.1203520881715126e-07,High,0.910892714140462,0.14341264413644342,10
S04012050_20170621,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04012050_20200519,3.4145597840764316e-10,2.7073266786473886e-09,0.9999999968058251,3.5008822162561027e-12,1.4189148530997116e-10,Moderate,0.9999999581498031,6.735529341391992e-08,10
S04012180_20130718,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04012200_20210906,1.1053382901764282e-10,0.999999999481062,3.7226612540878496e-10,1.133282006386728e-12,3.5004587060386654e-11,Good,0.9999999925381694,1.2009352972689916e-08,10
S04013000_20160811,1.1018044259622701e-08,8.735956333141933e-08,0.9999997537701311,1.1296588036419144e-10,1.4773929547269574e-07,Moderate,0.9999973939965195,4.194200801362065e-06,10
S04013000_20180829,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04013975_20210617,0.9998612555363275,0.0001385233906142084,2.0617928017358026e-07,8.236095298943192e-10,1.4070168535805339e-08,High,0.9991469769907767,0.0013728875712225505,10
S04014050_20121024,1.1018044259622701e-08,8.735956333141933e-08,0.9999997537701311,1.1296588036419144e-10,1.4773929547269574e-07,Moderate,0.9999973939965195,4.194200801362065e-06,10
S04014090_20190724,2.2565524417450128e-06,0.19202492089720793,0.8079720847943401,2.3135996476603322e-08,7.14620013668245e-07,Moderate,0.6960503750981335,0.48918804978718783,10
S04014090_20200701,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04014096_20121009,3.6435280376326306e-06,0.2180325341383652,0.7819610474858375,3.735638945571617e-08,2.7374913702835492e-06,Moderate,0.674114380623576,0.5244926709414857,10
S04014500_20180628,4.051328248294954e-08,0.9999499336107955,5.001263053169868e-05,4.153748627513931e-10,1.283001535710924e-08,Good,0.9996605748634293,0.0005462836832299374,10
S04014900_20130710,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04015000_20170717,1.6955112820052903e-06,1.3443322764846905e-05,2.4069002355249663e-06,2.526924273331893e-05,0.9999571850229843,Poor,0.999680152888988,0.0005147740666451144,10
S04015050_20150610,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04015100_20120713,1.7671269899280954e-09,0.9999999954597132,2.6912176347331987e-09,4.53131511869243e-12,7.741091511778173e-11,Good,0.9999999408601188,9.518196700034638e-08,10
S04015100_20140826,7.406897628173985e-08,0.00016718928175384935,0.9998327124331997,7.594149121368318e-10,2.3456655322363212e-08,Moderate,0.9989916604612461,0.0016228598822768455,10
S04015160_20140826,2.602213055758107e-10,2.0632354607561825e-09,0.9999999975914666,2.667998800986607e-12,8.240861125458725e-11,Moderate,0.9999999680642014,5.139868503535706e-08,10
S04015190_20200630,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04015390_20121016,1.0376272284755689e-06,0.9660399492610117,0.033958673870486566,1.0638591622304137e-08,3.286026818957234e-07,Good,0.9078776839633728,0.14826514801058385,10
S04015400_20140619,1.0814390301206427e-08,8.574483748182679e-08,0.99999984318616,2.6305448882566743e-10,5.999155787290693e-08,Moderate,0.9999982889603414,2.7538120962329574e-06,10
S04015970_20120811,2.7673965832249525e-09,2.1942057172646756e-08,3.928518529276492e-09,6.731550030119888e-11,0.9999999712947122,Poor,0.9999996596351594,5.477960785475437e-07,10
S04016300_20200728,1.8957368057879416e-08,1.5030865337130606e-07,4.3736420769229586e-07,1.943662342957113e-10,0.9999993931754046,Poor,0.9999939644806747,9.713793623445601e-06,10
S04016500_20121025,6.17367479494193e-10,4.894966125819369e-09,0.99999999401749,6.32974956225776e-12,4.63846615136014e-10,Moderate,0.9999999236556099,1.2287155589961476e-07,10
S04016555_20121015,3.9598362581636305e-06,3.1396639750741114e-05,0.9805023684579444,4.059943656614216e-08,0.019462234466610225,Moderate,0.9401350136939179,0.09634897858835671,10
S04016650_20150728,2.568588491936357e-09,3.6346395039598556e-07,0.9999996334912267,2.6335241849432966e-11,4.498992274898293e-10,Moderate,0.9999963857367543,5.816932293197042e-06,10
S04016800_20120711,7.448466392822994e-10,0.9999999987424835,4.78131133354509e-10,1.9099560229253614e-12,3.262881518865434e-11,Good,0.9999999825944133,2.801321121923223e-08,10
S04016800_20130724,4.659017223895443e-11,0.9999999998251914,1.1958060614596893e-10,4.776800400575817e-13,8.160467340224713e-12,Good,0.9999999973585715,4.251215175532868e-09,10
S04016800_20200804,1.1053382898612264e-10,0.9999999991958988,6.730735867966193e-10,1.1332820060635578e-12,1.93604714918195e-11,Good,0.9999999887776524,1.8061671635911038e-08,10
S04016840_20190805,7.336656051270464e-08,5.817067474493413e-07,1.0414911044934852e-07,4.731174144594334e-08,0.9999991934658402,Poor,0.9999920245709337,1.283595790720446e-05,10
S04016900_20130625,0.979330427237851,0.020666900329990464,2.4923893626363917e-06,9.956168386786323e-09,1.7008662732559155e-07,High,0.9374558328016361,0.100660953890664,10
S04016980_20140827,0.9999999983656027,1.0311823002237133e-09,5.62576150687599e-10,2.2472824553829327e-12,3.839154568652642e-11,High,0.9999999776721735,3.59352503727142e-08,10
