SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S06178014_20120621,1.3374008091861868e-08,0.9999793913663094,2.0595258172184496e-05,1.4912109624828035e-12,1.910912843173487e-14,Good,0.9998489640047137,0.00024308305695610778,10
S06178035_20170822,0.9999999999955065,4.490150251314222e-12,9.851837934629877e-23,3.2606837955228843e-15,1.4638740884979711e-22,High,0.9999999998728063,2.0471032188535194e-10,10
S06178042_20090604,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S06178043_20150708,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S06178050_20100607,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S06178056_20130626,3.625934641517605e-23,4.776558907898964e-11,0.9999919035317695,2.326987296381325e-15,8.096420462724039e-06,Moderate,0.9999359895928931,0.00010302077598821922,10
S06178056_20180628,9.368809744950954e-12,0.9999969085493358,3.0914410787354727e-06,2.167991053253787e-13,2.830280759695767e-16,Good,0.9999737097904041,4.231246004947239e-05,10
S06178057_20230411,2.0454532618816374e-22,9.802708287659979e-17,3.1194720452046634e-07,3.048839750446868e-09,0.9999996850039556,Poor,0.9999968635395912,5.047938292846052e-06,10
S06178065_20210705,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S06178070_20090624,2.5698882665288046e-10,0.9999999967651327,2.977874521621985e-09,3.6933540609504275e-15,7.625715566677058e-20,Good,0.9999999581054028,6.74267531014568e-08,10
S06178500_20140826,4.867026548539919e-12,0.999998906204473,1.093790652568606e-06,7.577113384712382e-15,5.362799055476494e-17,Good,0.9999899920366239,1.6107195683722888e-05,10
S06178800_20141113,0.9999999999999822,1.744030848433842e-14,5.056764875115823e-25,3.140879503130816e-16,7.042270099611661e-23,High,0.9999999999313165,1.1054184803210819e-10,10
S06178935_20080710,0.9999999972855287,2.7144601260443343e-09,3.673975194517576e-21,1.11107556106326e-14,4.903730657531228e-21,High,0.9999999649944856,5.633920205845815e-08,10
S06179000_20170622,6.144885182905289e-11,0.9964201288963743,0.0035798709837127473,3.3204619817741044e-11,2.525951315696637e-11,Good,0.9852514807803803,0.023736825984318984,9
S06179155_20140828,0.999999053808964,9.461909495274522e-07,2.125301598594472e-17,8.627863690011702e-14,1.0126180869193134e-18,High,0.9999912573706132,1.4070719189359797e-05,10
S06179155_20190724,0.9999987977745263,1.2022250159473732e-06,2.045931416041134e-15,4.559147192478244e-13,6.183762025751096e-19,High,0.9999890705684916,1.7590241431000662e-05,10
S06179200_20080709,2.7990900792359425e-11,0.9999999953447256,4.62728269345103e-09,7.473057168572964e-16,1.5168116551125448e-19,Good,0.999999941473826,9.419424327792558e-08,10
S06179200_20140605,7.4062421224469295e-09,0.9999999818089172,1.0784825161560974e-08,1.5536154392894465e-14,1.4272766729060823e-18,Good,0.9999997795832011,3.547471527251595e-07,10
S06179200_20200506,3.625934641517605e-23,4.776558907898964e-11,0.9999919035317695,2.326987296381325e-15,8.096420462724039e-06,Moderate,0.9999359895928931,0.00010302077598821922,10
S06179490_20140715,0.9999999991179074,8.820822156786696e-10,4.745306759960005e-21,1.0373536007166278e-14,2.6425135728027897e-21,High,0.9999999879738853,1.9355284796098283e-08,10
S06179500_20120925,3.625934641517605e-23,4.776558907898964e-11,0.9999919035317695,2.326987296381325e-15,8.096420462724039e-06,Moderate,0.9999359895928931,0.00010302077598821922,10
S06179500_20210726,7.956611394736253e-22,1.0394156982970992e-14,0.01050181124893057,3.892283842588001e-09,0.9894981848587753,Poor,0.9637792899238402,0.05829498401185538,10
S06179500_20220719,1.6702778289589238e-23,2.328888315159778e-22,1.416354850295236e-14,0.00012080497590948151,0.9998791950240764,Poor,0.999247799695849,0.0012106196872451152,10
S06179615_20180702,0.9999999999999958,3.904855891950751e-15,5.889642529438768e-26,3.1073214125578046e-16,3.308742445857592e-23,High,0.9999999999313249,1.1052830331120776e-10,10
S06179615_20190607,0.9999999999999958,3.904855891950751e-15,5.889642529438768e-26,3.1073214125578046e-16,3.308742445857592e-23,High,0.9999999999313249,1.1052830331120776e-10,10
S06179615_20200619,0.8755316540310522,0.12446834233901771,2.9733930032118178e-09,6.565363034329616e-10,1.0586681255649688e-15,High,0.7665431005338041,0.3757343849202118,9
S06179640_20210708,0.9999999999999822,1.744030848433842e-14,5.056764875115823e-25,3.140879503130816e-16,7.042270099611661e-23,High,0.9999999999313165,1.1054184803210819e-10,10
S06179665_20230413,7.4062421224469295e-09,0.9999999818089172,1.0784825161560974e-08,1.5536154392894465e-14,1.4272766729060823e-18,Good,0.9999997795832011,3.547471527251595e-07,10
