region,SamplingOperations_code,y_true,oof_pred,yhat_te,y_filled,proba_Bad,proba_Good,proba_High,proba_Moderate,proba_Poor
1,S05173450_20220915,High,High,,High,,,,,
1,S05176100_20070710,Good,Good,,Good,,,,,
1,S05176100_20080731,Good,Good,,Good,,,,,
1,S05176100_20090626,Good,Good,,Good,,,,,
1,S05176100_20100702,High,High,,High,,,,,
1,S05176100_20110825,Good,Good,,Good,,,,,
1,S05176100_20130704,High,High,,High,,,,,
1,S05176100_20150519,High,High,,High,,,,,
1,S05176100_20160609,High,High,,High,,,,,
1,S05176100_20170728,Good,Good,,Good,,,,,
1,S05176100_20180814,High,High,,High,,,,,
1,S05176100_20190620,High,High,,High,,,,,
1,S05176100_20200721,Good,Good,,Good,,,,,
1,S05176100_20210615,High,High,,High,,,,,
1,S05176100_20220610,High,High,,High,,,,,
1,S05176150_20070808,High,High,,High,,,,,
1,S05176150_20080806,High,High,,High,,,,,
1,S05176150_20090626,High,High,,High,,,,,
1,S05176150_20100702,High,High,,High,,,,,
1,S05176150_20110812,High,High,,High,,,,,
1,S05176150_20120828,High,High,,High,,,,,
1,S05176150_20130911,Good,Good,,Good,,,,,
1,S05176150_20140716,High,High,,High,,,,,
1,S05176150_20150703,High,High,,High,,,,,
1,S05176150_20160706,Moderate,Moderate,,Moderate,,,,,
1,S05176150_20170830,Moderate,Moderate,,Moderate,,,,,
1,S05176150_20180808,Moderate,Moderate,,Moderate,,,,,
1,S05176150_20190627,High,High,,High,,,,,
1,S05176150_20200817,Good,Good,,Good,,,,,
1,S05176150_20220728,High,High,,High,,,,,
1,S05176160_20130912,Moderate,Moderate,,Moderate,,,,,
1,S05176160_20140716,High,High,,High,,,,,
1,S05176160_20150703,High,High,,High,,,,,
1,S05176160_20160922,Moderate,Moderate,,Moderate,,,,,
1,S05176160_20170831,Good,Good,,Good,,,,,
1,S05176160_20180808,Moderate,Moderate,,Moderate,,,,,
1,S05176160_20190627,High,High,,High,,,,,
1,S05176160_20200701,Good,Good,,Good,,,,,
1,S05176160_20210707,Good,Good,,Good,,,,,
1,S05176170_20130912,High,High,,High,,,,,
1,S05176170_20140716,High,High,,High,,,,,
1,S05176170_20150703,High,High,,High,,,,,
1,S05176170_20160921,Moderate,Moderate,,Moderate,,,,,
1,S05176170_20170831,Good,Good,,Good,,,,,
1,S05176170_20190626,Moderate,Moderate,,Moderate,,,,,
1,S05176170_20200701,High,High,,High,,,,,
1,S05176900_20070710,Good,Good,,Good,,,,,
1,S05176900_20120910,Moderate,Moderate,,Moderate,,,,,
1,S05176900_20130912,Moderate,Moderate,,Moderate,,,,,
1,S05176900_20140703,Good,Good,,Good,,,,,
1,S05176900_20160810,Good,Good,,Good,,,,,
1,S05176900_20170713,Good,Good,,Good,,,,,
1,S05176900_20180817,Good,Good,,Good,,,,,
1,S05176900_20190716,High,High,,High,,,,,
1,S05176900_20200820,Good,Good,,Good,,,,,
1,S05176900_20210720,Good,Good,,Good,,,,,
1,S05176900_20220818,Good,Good,,Good,,,,,
1,S05178100_20210705,High,High,,High,,,,,
1,S05178100_20220727,Good,Good,,Good,,,,,
1,S05178200_20070710,Moderate,Moderate,,Moderate,,,,,
1,S05178200_20120910,Moderate,Moderate,,Moderate,,,,,
1,S05178200_20130912,Moderate,Moderate,,Moderate,,,,,
1,S05178200_20140723,Moderate,Moderate,,Moderate,,,,,
1,S05178200_20160810,Good,Good,,Good,,,,,
1,S05178200_20170713,High,High,,High,,,,,
1,S05178200_20180816,Moderate,Moderate,,Moderate,,,,,
1,S05178200_20190719,High,High,,High,,,,,
1,S05178200_20210720,High,High,,High,,,,,
1,S05178200_20220630,Good,Good,,Good,,,,,
1,S05178800_20130912,High,High,,High,,,,,
1,S05178800_20140723,High,High,,High,,,,,
1,S05178800_20150610,High,High,,High,,,,,
1,S05178800_20160912,High,High,,High,,,,,
