IBD_pred,SamplingOperations_code
14.189658472676475,S02038000_20090803
13.886640730223064,S02038000_20100906
13.580154523554741,S02038000_20160823
11.42109659219194,S02041000_20090805
11.804432565062186,S02041000_20160817
14.352968462784427,S02041230_20150822
13.17960690842505,S02041500_20170818
14.580889053117973,S02041575_20160824
15.609423275631242,S02041650_20130822
15.300809119897389,S02041650_20160824
11.65405176570408,S02041750_20070804
12.272007980689125,S02041750_20160824
12.940916076278727,S02041950_20100921
12.705963678720824,S02041950_20160817
14.056257173127008,S02042000_20160817
12.26812952878283,S02042000_20170818
13.505540631305319,S02042500_20160823
11.463399709544191,S02042500_20200701
13.96336382883555,S02042900_20160819
12.03021538235536,S02043450_20160818
14.218970470853764,S02043500_20160818
12.991861709948164,S02043600_20130723
13.880128087962248,S02043600_20160818
13.643977270489955,S02043690_20180801
14.155025654927226,S02043780_20160825
12.523433037499004,S02044000_20070910
14.612137806686734,S02044000_20110720
13.957752752614164,S02044000_20140930
13.838808991397066,S02044000_20160823
13.129961491165062,S02045000_20130821
9.813904584439234,S02045000_20160823
10.807822839542114,S02045050_20130821
14.43083025634315,S02045050_20160822
8.257992468136976,S02045160_20090804
13.478759153234192,S02045160_20160824
14.480299719490734,S02045170_20160824
13.332535723329286,S02045200_20160824
13.143290696264003,S02045283_20160825
13.935132064482492,S02045283_20170817
12.882434116697057,S02045350_20150610
13.498833271042681,S02045350_20160824
14.082395375978898,S02045500_20080806
14.318472081505835,S02045500_20160830
13.704197356631136,S02046000_20150818
14.072451684515736,S02046000_20160826
13.56717560388723,S02046000_20180808
15.031125756978778,S02047000_20100906
14.905866876514404,S02047000_20160826
19.19548168580724,S02048960_20150722
19.591934822623696,S02048960_20160803
15.225919808185116,S02048980_20090806
19.880455408768892,S02048980_20160803
18.843477329498864,S02048980_20200707
18.18699692247203,S02048980_20210820
17.81072071100827,S02049000_20160803
14.093193962262953,S02049000_20190705
16.5663902224098,S02049500_20160722
16.594736179716627,S02049900_20160722
15.74192704503859,S02049900_20200707
14.006177276739113,S02050000_20160722
16.137327241260632,S02050260_20210706
14.137622988741215,S02051000_20080801
16.736125859227215,S02051000_20120802
16.782485724965117,S02051000_20140715
17.52208934580103,S02051000_20160720
19.485314878817157,S02051000_20180726
18.45066025427538,S02051000_20200730
19.02165228128799,S02051000_20210706
12.86695227269695,S02051500_20180725
14.350657042466077,S02051600_20160720
17.734086341818653,S02051820_20160720
